# base + TSP 微调 配对逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,full,coverage,supplement,on_way,queue_clear,homing,queue_homing,on_way_homing,recovery
base(δ=300),78,14,4476.6,17918,137,129,17,3,1,1758.8,402.4,502.7,1774.6,0.0,38.1,0.0,0.0
base(δ=300),79,16,4548.8,18229,138,130,17,1,1,1868.1,0.0,401.2,2265.4,0.0,14.0,0.0,0.0
base(δ=300),80,14,3984.6,15283,144,138,14,0,1,1876.9,0.0,426.6,1681.1,0.0,0.0,0.0,0.0
base(δ=300),81,12,3932.3,15172,141,133,12,0,1,1713.5,0.0,517.0,1701.8,0.0,0.0,0.0,0.0
base(δ=300),82,12,4383.1,16960,156,148,13,1,1,2017.3,0.0,264.1,2087.6,0.0,0.0,14.0,0.0
base(δ=300),83,16,3539.4,13467,129,121,16,0,1,1573.3,146.0,588.8,1231.2,0.0,0.0,0.0,0.0
base(δ=300),84,10,3406.2,12416,147,138,10,0,1,1896.5,0.0,417.9,1091.8,0.0,0.0,0.0,0.0
base(δ=300),85,12,3464.5,12648,147,140,12,0,1,1995.4,0.0,245.4,1223.7,0.0,0.0,0.0,0.0
base(δ=300),86,13,4108.3,15756,150,142,13,0,1,1816.3,108.5,448.2,1735.2,0.0,0.0,0.0,0.0
base(δ=300),87,15,4505.2,17676,149,141,18,3,1,1991.9,315.4,204.4,1951.4,0.0,28.0,14.0,0.0
base(δ=300),88,12,3696.1,13746,149,142,12,0,1,2073.0,0.0,208.7,1414.4,0.0,0.0,0.0,0.0
base(δ=300),89,12,4255.5,16193,160,151,14,2,1,2183.8,273.9,93.5,1677.3,0.0,13.0,14.0,0.0
base(δ=300),90,11,4381.0,17385,143,134,11,0,1,1908.1,477.6,315.2,1680.1,0.0,0.0,0.0,0.0
base(δ=300),91,10,3366.7,12034,153,145,10,0,1,1880.2,0.0,470.4,1016.1,0.0,0.0,0.0,0.0
base(δ=300),92,13,3697.6,14198,133,125,14,1,1,1840.6,0.0,370.7,1472.2,0.0,14.0,0.0,0.0
base(δ=300),93,15,3880.4,14672,146,138,16,1,1,1906.9,0.0,356.8,1602.7,0.0,14.0,0.0,0.0
base(δ=300),94,11,3325.0,11700,156,150,11,0,1,1984.7,0.0,357.9,982.3,0.0,0.0,0.0,0.0
base(δ=300),95,15,4549.6,18103,143,136,16,1,1,1771.4,289.4,564.4,1910.3,0.0,0.0,14.0,0.0
base(δ=300),96,11,3638.6,13683,142,134,12,1,1,1993.9,0.0,205.8,1424.9,0.0,14.0,0.0,0.0
base(δ=300),97,13,4118.2,16101,140,133,13,0,1,1704.1,0.0,530.7,1883.4,0.0,0.0,0.0,0.0
base(δ=300),98,10,3538.0,13005,149,142,10,0,1,1817.0,129.7,404.8,1186.7,0.0,0.0,0.0,0.0
base(δ=300),99,14,4330.6,16678,154,146,17,3,1,1953.8,428.4,302.3,1604.1,0.0,28.0,14.0,0.0
base(δ=300),100,16,4140.1,16290,135,127,16,0,1,1738.8,0.0,501.6,1899.7,0.0,0.0,0.0,0.0
base(δ=300),101,13,4174.2,16146,147,139,15,2,1,2002.3,0.0,252.0,1891.9,0.0,14.0,14.0,0.0
base(δ=300),102,13,3865.8,14784,141,136,14,1,1,1763.4,0.0,510.6,1577.8,0.0,0.0,14.0,0.0
base(δ=300),103,15,3972.6,15728,126,119,16,1,1,2012.3,0.0,75.4,1870.9,0.0,14.0,0.0,0.0
base(δ=300),104,12,4396.4,17167,152,143,12,0,1,1933.9,285.7,300.3,1876.5,0.0,0.0,0.0,0.0
base(δ=300),105,15,4264.7,16518,149,141,15,0,1,2024.5,0.0,261.3,1978.9,0.0,0.0,0.0,0.0
base(δ=300),106,13,4294.0,16580,153,145,14,1,1,2104.6,146.2,227.9,1801.4,0.0,0.0,14.0,0.0
base(δ=300),107,16,4216.7,16859,129,120,16,0,1,1673.7,0.0,452.0,2091.1,0.0,0.0,0.0,0.0
base(δ=300),108,12,4023.4,15492,145,137,13,1,1,2055.6,0.0,214.0,1739.8,0.0,0.0,14.0,0.0
base(δ=300),109,13,3813.7,14289,150,141,13,0,1,1900.1,310.2,355.2,1248.3,0.0,0.0,0.0,0.0
base(δ=300),110,15,4405.7,17524,138,130,17,2,1,1878.8,0.0,329.7,2169.2,0.0,28.0,0.0,0.0
base(δ=300),111,12,4370.3,17366,141,132,12,0,1,1923.1,660.0,324.5,1462.6,0.0,0.0,0.0,0.0
base(δ=300),112,12,4029.3,15166,157,148,13,1,1,2067.5,0.0,205.2,1742.6,0.0,14.0,0.0,0.0
base(δ=300),113,12,4450.6,17668,144,137,12,0,1,1818.8,498.6,427.2,1706.0,0.0,0.0,0.0,0.0
base(δ=300),114,15,4327.4,17342,131,123,17,2,1,1764.2,150.4,488.4,1896.4,0.0,28.0,0.0,0.0
base(δ=300),115,15,3911.7,15404,127,118,16,1,1,1808.2,0.0,362.9,1726.6,0.0,14.0,0.0,0.0
base(δ=300),116,15,3999.3,15502,138,131,16,1,1,1904.0,302.9,325.8,1452.6,0.0,14.0,0.0,0.0
base(δ=300),117,11,3974.5,15053,153,144,11,0,1,2125.5,0.0,198.1,1650.9,0.0,0.0,0.0,0.0
base(δ=300),118,16,5603.6,23248,146,141,17,1,1,2003.2,1051.8,266.7,2267.9,0.0,14.0,0.0,0.0
base(δ=300),119,14,4311.2,16621,154,147,14,0,1,1907.8,0.0,415.3,1988.1,0.0,0.0,0.0,0.0
base(δ=300),120,12,3661.6,13463,153,144,12,0,1,2001.0,0.0,313.0,1347.5,0.0,0.0,0.0,0.0
base(δ=300),121,16,4313.8,17194,134,125,16,0,1,1820.7,0.0,395.5,2097.7,0.0,0.0,0.0,0.0
base(δ=300),122,15,4426.2,17756,134,127,16,1,1,1830.2,0.0,446.0,2136.0,0.0,0.0,14.0,0.0
base(δ=300),123,14,3800.6,14318,146,137,14,0,1,1688.7,310.8,594.3,1206.9,0.0,0.0,0.0,0.0
base(δ=300),124,11,3566.6,13133,149,140,11,0,1,1947.8,0.0,366.7,1252.1,0.0,0.0,0.0,0.0
base(δ=300),125,15,4726.4,18642,155,145,16,1,1,2021.0,549.5,283.0,1859.9,0.0,13.0,0.0,0.0
base(δ=300),126,13,4254.0,16655,144,135,14,1,1,1867.2,146.0,345.8,1881.0,0.0,14.0,0.0,0.0
base(δ=300),127,12,3855.9,14634,146,139,12,0,1,1947.5,466.7,283.9,1157.8,0.0,0.0,0.0,0.0
base(δ=300),128,12,3864.2,14531,150,142,14,2,1,1958.5,0.0,278.3,1599.4,0.0,14.0,14.0,0.0
base(δ=300),129,10,3316.8,12129,141,133,11,1,1,1779.3,0.0,457.2,1066.3,0.0,14.0,0.0,0.0
base(δ=300),130,12,4007.3,15431,145,136,12,0,1,1895.6,0.0,392.5,1719.2,0.0,0.0,0.0,0.0
base(δ=300),131,11,3604.8,13099,156,147,12,1,1,2082.0,0.0,223.5,1285.3,0.0,14.0,0.0,0.0
base(δ=300),132,16,3528.8,13854,113,107,18,2,1,1481.3,0.0,663.5,1356.0,0.0,14.0,14.0,0.0
base(δ=300),133,13,3307.7,12328,131,122,13,0,1,1799.3,0.0,377.4,1131.0,0.0,0.0,0.0,0.0
base(δ=300),134,10,4242.6,16178,161,152,10,0,1,2195.1,679.6,111.9,1255.9,0.0,0.0,0.0,0.0
base(δ=300),135,16,3938.9,15790,117,110,18,2,1,1691.9,300.9,429.1,1489.1,0.0,14.0,14.0,0.0
base(δ=300),136,15,3691.6,13718,145,139,18,3,1,1943.5,0.0,295.6,1410.5,0.0,28.0,14.0,0.0
