# 逐案: 当前解与下界(离线全知)
k,n_src,T,L,meas,switch,clear,fail,src_tsp,L_lb,meas_lb,T_lb
153,13,4508.6,16623,188,179,13,0,9547,6537,68,1712.5
154,14,4294.9,16015,171,161,16,2,9598,7314,64,1852.9
155,12,5157.3,19851,189,179,13,1,9998,8964,72,2212.8
156,10,4286.5,15233,200,190,10,0,7645,5970,80,1643.9
157,16,4747.4,18002,179,169,17,1,10099,7856,56,1931.1
158,11,3934.9,14200,175,165,11,0,7722,5976,76,1630.2
159,10,4323.3,15866,185,175,10,0,9066,6788,80,1807.7
160,15,4640.0,17440,180,171,17,2,10205,8168,60,2008.5
161,11,4339.4,15802,189,179,11,0,9118,6888,76,1812.6
162,10,3963.7,13754,195,185,11,1,7552,5330,80,1516.0
163,16,4712.8,17729,182,174,17,1,10705,8752,56,2110.3
164,14,4327.0,16025,177,167,14,0,9628,7968,64,1983.6
165,10,3560.5,12383,174,164,10,0,6468,5226,80,1495.2
166,10,4305.6,15738,186,178,10,0,8883,6739,80,1797.8
167,12,4548.6,16808,188,178,15,3,10291,7951,72,2010.2
168,13,4306.8,15679,186,176,13,0,8129,5950,68,1595.1
169,13,4459.2,16141,196,186,13,0,9407,8079,68,2020.7
170,16,4915.1,18550,189,180,16,0,11412,8704,56,2100.9
171,11,3850.6,14133,163,154,11,0,7215,5656,76,1566.3
172,15,4352.6,15978,182,172,15,0,10302,8226,60,2020.3
173,12,4009.5,14318,182,173,13,1,7334,6195,72,1659.1
174,10,4306.5,15512,194,184,10,0,7785,6925,80,1835.0
175,11,3712.9,12995,178,169,11,0,6053,5422,76,1519.4
176,11,4593.4,17152,186,175,12,1,7978,6469,76,1728.7
177,12,3706.5,13212,169,159,12,0,7563,6496,72,1719.2
178,10,4226.5,15187,191,181,11,1,8605,7447,80,1939.4
179,13,3940.3,14156,175,166,14,1,8498,6847,68,1774.5
180,10,4322.0,15860,185,175,10,0,7307,6020,80,1654.0
181,16,4609.2,17341,178,168,17,1,11204,7593,56,1878.7
182,13,4503.8,16934,177,167,13,0,10355,8934,68,2191.8
183,14,4223.6,15508,177,167,14,0,9293,6892,64,1768.3
184,12,4605.9,17140,188,178,12,0,9010,7111,72,1842.3
185,10,3906.5,13962,179,169,10,0,7880,6492,80,1748.5
186,13,4592.2,16941,191,181,14,1,8663,7699,68,1944.7
