# 问题三 权衡分析逐案明细(同一场景 + 固定误差场; need = 基础扫描后需补测频道数, 运行时可观测)
k,n_src,need_base6,T_base6,T_aux9,T_adopted,dT_adopted,dT_aux9,cov_base6,cov_adopted,sup_base6,sup_adopted,fired,resolved
80,16,3,4935.7,5427.4,4183.6,-752.1,491.7,1798.3,2167.4,388.8,0.0,True,3
81,16,0,4351.9,4351.9,4366.8,14.9,0.0,1706.6,2224.1,0.0,0.0,False,0
82,10,2,4233.5,5092.0,3857.9,-375.6,858.5,1752.1,2238.3,594.3,0.0,True,1
83,12,3,4878.9,5583.5,4806.1,-72.8,704.6,1906.5,2473.1,541.2,163.2,True,3
84,16,4,4697.3,5303.5,4271.3,-426.1,606.2,1489.9,1828.5,626.6,0.0,True,4
85,12,9,4252.5,5480.2,3731.7,-520.8,1227.7,2200.1,2564.6,675.2,0.0,True,6
86,16,2,4176.9,5278.7,4087.9,-89.0,1101.8,1708.8,2122.3,434.6,0.0,True,2
87,12,2,4602.4,5224.5,4446.6,-155.8,622.1,1701.0,2229.2,431.0,0.0,True,2
88,11,6,6030.5,5907.2,4374.6,-1655.9,-123.2,2102.3,2506.4,1272.3,0.0,True,5
89,16,4,4981.2,5770.2,4635.9,-345.3,789.0,1837.6,2342.0,748.1,0.0,True,3
90,13,2,4107.7,5133.3,4302.7,195.0,1025.7,1615.3,2106.6,239.6,0.0,True,2
91,13,0,3709.1,3709.1,4137.4,428.3,0.0,1858.2,2094.7,0.0,0.0,False,0
92,14,2,4304.0,5642.5,4484.9,180.9,1338.4,1969.5,2343.5,207.2,0.0,True,1
93,16,5,5822.4,6002.0,4897.9,-924.5,179.6,1923.5,2369.3,1125.6,0.0,True,4
94,16,1,4935.0,6011.7,4916.4,-18.6,1076.7,1810.2,2316.4,334.3,0.0,True,1
95,15,3,4978.8,6020.8,4512.3,-466.6,1041.9,1525.7,2237.0,755.4,0.0,True,1
96,10,1,4291.7,4965.8,4678.6,386.9,674.1,1911.3,2288.0,374.1,375.6,True,1
97,13,2,5040.4,6198.0,4700.9,-339.5,1157.6,1872.0,2313.1,620.9,0.0,True,1
98,14,2,4845.7,6176.0,4720.1,-125.6,1330.3,1922.4,2480.2,530.0,0.0,True,1
99,12,0,3186.9,3186.9,3575.6,388.7,0.0,1630.3,2318.8,0.0,0.0,False,0
