起点: 27 点格点块, 证书 不通过, 成本 6673 s (TSP 24120 m)
  [2304] 新最优: 成本 5687 s, 27 点, TSP 19188 m, 证书通过(支撑余量 11.4 m, 盘内最大边 959 m)
  [2322] 新最优: 成本 5684 s, 27 点, TSP 19170 m, 证书通过(支撑余量 11.4 m, 盘内最大边 959 m)
  [2326] 新最优: 成本 5679 s, 27 点, TSP 19147 m, 证书通过(支撑余量 11.4 m, 盘内最大边 959 m)
  [2343] 新最优: 成本 5678 s, 27 点, TSP 19145 m, 证书通过(支撑余量 11.4 m, 盘内最大边 959 m)
  [2363] 新最优: 成本 5669 s, 27 点, TSP 19100 m, 证书通过(支撑余量 11.4 m, 盘内最大边 959 m)
  [2364] 新最优: 成本 5663 s, 27 点, TSP 19066 m, 证书通过(支撑余量 11.4 m, 盘内最大边 959 m)
  [2367] 新最优: 成本 5661 s, 27 点, TSP 19056 m, 证书通过(支撑余量 11.4 m, 盘内最大边 959 m)
  [2384] 新最优: 成本 5660 s, 27 点, TSP 19051 m, 证书通过(支撑余量 11.4 m, 盘内最大边 959 m)
  [2386] 新最优: 成本 5657 s, 27 点, TSP 19040 m, 证书通过(支撑余量 11.1 m, 盘内最大边 959 m)
  [2414] 新最优: 成本 5653 s, 27 点, TSP 19017 m, 证书通过(支撑余量 11.1 m, 盘内最大边 959 m)
  [2415] 新最优: 成本 5643 s, 27 点, TSP 18968 m, 证书通过(支撑余量 11.1 m, 盘内最大边 959 m)
  [2443] 新最优: 成本 5640 s, 27 点, TSP 18954 m, 证书通过(支撑余量 11.1 m, 盘内最大边 959 m)
  [2901] 新最优: 成本 5635 s, 27 点, TSP 18926 m, 证书通过(支撑余量 11.1 m, 盘内最大边 959 m)
  [2906] 新最优: 成本 5628 s, 27 点, TSP 18894 m, 证书通过(支撑余量 11.1 m, 盘内最大边 959 m)
  [2958] 新最优: 成本 5626 s, 27 点, TSP 18884 m, 证书通过(支撑余量 11.1 m, 盘内最大边 959 m)
  [2959] 新最优: 成本 5617 s, 27 点, TSP 18838 m, 证书通过(支撑余量 11.1 m, 盘内最大边 959 m)
  [3107] 新最优: 成本 5614 s, 27 点, TSP 18821 m, 证书通过(支撑余量 10.3 m, 盘内最大边 959 m)
  [3138] 新最优: 成本 5612 s, 27 点, TSP 18813 m, 证书通过(支撑余量 10.3 m, 盘内最大边 959 m)
  [3150] 新最优: 成本 5611 s, 27 点, TSP 18809 m, 证书通过(支撑余量 10.3 m, 盘内最大边 959 m)
  [3161] 新最优: 成本 5610 s, 27 点, TSP 18804 m, 证书通过(支撑余量 10.3 m, 盘内最大边 959 m)
  [3207] 新最优: 成本 5610 s, 27 点, TSP 18801 m, 证书通过(支撑余量 10.3 m, 盘内最大边 959 m)
  [3266] 新最优: 成本 5610 s, 27 点, TSP 18801 m, 证书通过(支撑余量 10.3 m, 盘内最大边 959 m)
  [3300] 新最优: 成本 5607 s, 27 点, TSP 18789 m, 证书通过(支撑余量 10.3 m, 盘内最大边 959 m)
  [3350] 新最优: 成本 5598 s, 27 点, TSP 18744 m, 证书通过(支撑余量 10.9 m, 盘内最大边 959 m)
  [3362] 新最优: 成本 5596 s, 27 点, TSP 18731 m, 证书通过(支撑余量 10.9 m, 盘内最大边 959 m)
  [3427] 新最优: 成本 5592 s, 27 点, TSP 18713 m, 证书通过(支撑余量 10.9 m, 盘内最大边 959 m)
  [3469] 新最优: 成本 5591 s, 27 点, TSP 18708 m, 证书通过(支撑余量 10.4 m, 盘内最大边 959 m)
  [3495] 新最优: 成本 5590 s, 27 点, TSP 18701 m, 证书通过(支撑余量 10.4 m, 盘内最大边 959 m)

最优: 27 点, 成本 5590 s (TSP 18701 m), 证书 通过
  连续证书指标: {'n': 27, 'n_tri': 37, 'a_hull': 10673928.6421, 'gap': 0.0, 'ov': 0.0, 'support_margin': 10.3959, 'max_edge_disk': 959.4429, 'hull_v': 15}
  已写入 D:\My_MathModeling_Project\problem4_robot\results\station_opt_best.txt
  当前设计对照: 27 点, 成本 6673 s (TSP 24120 m)
