experiment_id,experiment_type,repetition,number_of_points,angle_error,intersection_angle,status,area,area_lower,area_upper,diameter,diameter_upper,cover_radius,cover_radius_lower,centroid_x,centroid_y,centroid_error_bound,cover_center_x,cover_center_y,localization_error,valid_point_count,leaf_count,boundary_width,visited_cells,truth_feasible,runtime_s
error_025_1.5,error,25,3,1.5,90,sampled,2476.4819011688232,2471.8067207336426,2481.157081604004,74.09974309591014,74.18206175850847,37.091030879254234,37.04987154795507,106.68559758174794,-52.65159446303769,0.27955869972612607,108.720703125,-53.9296875,1.225160436664274,26335,15088,0.03515625,70264,True,0.24275680002756417
error_025_2.0,error,25,3,2.0,90,sampled,4450.6599197387695,4444.426963806152,4456.892875671387,98.86650726072288,98.94880670461166,49.47440335230583,49.43325363036144,106.69040296169494,-52.97689943353509,0.2767594236520635,108.580078125,-54.66796875,1.3871554100868184,35211,20157,0.03515625,80352,True,0.3012275999644771
error_026_0.2,error,26,3,0.2,90,sampled,45.589073181152344,44.97047424316406,46.207672119140625,9.846919830036201,9.94294330578382,4.97147165289191,4.923459915018101,-228.2823887011303,129.31506955239968,0.2662196075827744,-228.3046875,129.3046875,1.0552882340671406,3433,1988,0.03515625,44028,True,0.0369959999807179
error_026_0.5,error,26,3,0.5,90,sampled,282.72891426086426,281.1779365539551,284.27989196777344,24.67308856088554,24.76901901526412,12.38450950763206,12.33654428044277,-228.32007394758,129.31202769217884,0.270270232964906,-228.392578125,129.322265625,1.0737859440984399,8667,4985,0.03515625,50076,True,0.08187069999985397
error_026_1.0,error,26,3,1.0,90,sampled,1128.2224960327148,1125.1245574951172,1131.3204345703125,49.407509832950154,49.50345807567584,24.75172903783792,24.703754916475077,-228.45491769462853,129.30192825176732,0.2711144708974223,-228.708984375,129.375,1.1483547148966016,17565,10058,0.03515625,60156,True,0.14830580004490912
error_026_1.5,error,26,3,1.5,90,sampled,2537.485273361206,2532.825542449951,2542.145004272461,74.17021053576975,74.23156231927462,37.11578115963731,37.08510526788488,-228.67956763123033,129.2851458926296,0.27213168796314224,-229.236328125,129.48046875,1.294629770674249,26355,15090,0.03515625,70256,True,0.23528889997396618
error_026_2.0,error,26,3,2.0,90,sampled,4512.2752475738525,4506.038120269775,4518.51237487793,98.97380725115889,99.06974485842525,49.534872429212626,49.486903625579444,-228.99508631023622,129.2616435957017,0.27350178970402134,-229.9921875,129.603515625,1.53279345064865,35182,20145,0.03515625,80364,True,0.2989126000320539
error_027_0.2,error,27,3,0.2,90,sampled,22.243606567382812,21.819053649902344,22.66815948486328,8.6404307448779,8.738290854096197,4.369164704227673,4.32023358102179,-117.11119502904877,-241.92336345085607,0.32731963778327133,-117.83633519274912,-241.11221475830408,2.894139576158631,2295,1338,0.03515625,42780,True,0.025162399979308248
error_027_0.5,error,27,3,0.5,90,sampled,249.33847618103027,248.10853958129883,250.56841278076172,24.670884347442094,24.769567903793256,12.384783951896628,12.335445594576983,-116.95100751346183,-241.6213282300793,0.24316710782746898,-117.87890625,-240.2578125,2.8946840048388567,6971,4006,0.03515625,48056,True,0.06519999995362014
error_027_1.0,error,27,3,1.0,90,sampled,1093.301628112793,1090.8525695800781,1095.7506866455078,49.365897505746325,49.439738265150254,24.719869132575127,24.682948752873163,-116.8910882579106,-241.7353768713083,0.22100066069614302,-118.125,-240.46875,2.78488472649016,14049,8045,0.03515625,56088,True,0.1277787999715656
error_027_1.5,error,27,3,1.5,90,sampled,2501.0982456207275,2497.3905143737793,2504.805976867676,74.11132624625277,74.18516067634548,37.09258033817274,37.055663123126386,-116.98687117120352,-241.92790991152756,0.21962470613674437,-118.51171875,-240.837890625,2.779654113745366,21010,12053,0.03515625,64180,True,0.1875550999538973
error_027_2.0,error,27,3,2.0,90,sampled,4473.808713912964,4468.887577056885,4478.729850769043,98.90645341174285,99.00584879851027,49.502924399255136,49.45322670587142,-117.14742474520091,-242.19555747869197,0.21757120778610164,-119.07421875,-241.365234375,2.8257852685295624,28044,16044,0.03515625,72348,True,0.24871840002015233
error_028_0.2,error,28,3,0.2,90,sampled,33.710397720336914,33.172908782958984,34.247886657714844,9.710414636089705,9.81262517958569,4.906312589792845,4.855207318044853,183.3813866472536,-120.3672321079276,0.3080001714193563,182.724609375,-119.6015625,2.9859102317083943,2952,1714,0.03515625,43496,True,0.030332599999383092
error_028_0.5,error,28,3,0.5,90,sampled,269.71747970581055,268.33721923828125,271.09774017333984,24.73886135185547,24.83659058102487,12.418295290512434,12.369430675927735,183.50429316096066,-120.26448580827643,0.25290483133706587,182.654296875,-119.583984375,2.8266538157402836,7738,4444,0.03515625,48964,True,0.07918540004175156
error_028_1.0,error,28,3,1.0,90,sampled,1116.7733173370361,1114.0018272399902,1119.544807434082,49.53118261098038,49.65333390120831,24.826666950604157,24.76559130549019,183.4921880899526,-120.38817651635043,0.24583870565737015,182.478515625,-119.84765625,2.925417289002007,15600,8943,0.03515625,57928,True,0.129871099954471
error_028_1.5,error,28,3,1.5,90,sampled,2528.781629562378,2524.6218452453613,2532.9414138793945,74.34793429246793,74.44105778798905,37.220528893994526,37.17396714623396,183.4209401963075,-120.60150845633584,0.24450525624620528,182.162109375,-120.3046875,3.132592116008574,23427,13425,0.03515625,66940,True,0.20924390002619475
error_028_2.0,error,28,3,2.0,90,sampled,4507.427341461182,4501.8781814575195,4512.976501464844,99.23337479106672,99.33569364709058,49.66784682354529,49.61668739553336,183.31430590487358,-120.90132148215447,0.2442865181963817,181.72265625,-120.919921875,3.431593275929499,31384,17960,0.03515625,75916,True,0.2899807000067085
error_029_0.2,error,29,3,0.2,90,sampled,23.025352478027344,22.50933837890625,23.541366577148438,8.660612143362265,8.794474895995158,4.3973250015112235,4.330324387084668,-140.79766600382817,-217.87898746040557,0.3855403233136955,-139.7717178440009,-218.18661665086975,2.4751650848187663,2778,1620,0.03515625,43348,True,0.028920099954120815
error_029_0.5,error,29,3,0.5,90,sampled,250.36540603637695,248.8436279296875,251.8871841430664,24.53645586307853,24.634799924285367,12.317486752594894,12.26830084786969,-140.77718479230614,-218.22125546078757,0.29766261681785056,-139.35138046832196,-218.83597637939823,2.796912738148642,8544,4907,0.03515625,49900,True,0.08388799999374896
error_029_1.0,error,29,3,1.0,90,sampled,1092.6227760314941,1089.5393600463867,1095.7061920166016,49.14096811535619,49.20157066257197,24.600785331285984,24.570484057678094,-140.8854048035826,-218.15304147703458,0.2769153091927916,-139.21875,-218.53125,2.762915923601362,17343,9946,0.03515625,59992,True,0.15699349995702505
error_029_1.5,error,29,3,1.5,90,sampled,2497.139768600464,2492.5066108703613,2501.7729263305664,73.73288220387712,73.85264659728742,36.92632329864371,36.86644110193856,-140.90816531507323,-217.9419389114079,0.2735427798977957,-139.095703125,-218.021484375,2.5707899967269356,26134,14973,0.03515625,69976,True,0.22738000005483627
error_029_2.0,error,29,3,2.0,90,sampled,4465.2146072387695,4459.037269592285,4471.391944885254,98.41428472062759,98.48744059625164,49.24372029812582,49.207142360313796,-140.91806472755698,-217.6352995460926,0.2721256297815921,-138.90234375,-217.283203125,2.2889472766759567,34939,19996,0.03515625,80000,True,0.30781159992329776
angle_000_30,angle,0,2,1.0,30,sampled,2610.398374557495,2604.190601348877,2616.6061477661133,141.30169412362696,141.480430409017,70.7402152045085,70.65084706181348,-22.35059061043593,143.15242511973173,0.6713111380455014,-22.552734375,141.486328125,25.35402945287298,34825,19969,0.03515625,80160,True,0.28108139999676496
angle_000_45,angle,0,2,1.0,45,sampled,1798.7848262786865,1794.1547584533691,1803.414894104004,93.87234887495242,93.97818665334201,46.989093326671004,46.93617443747621,-19.309193399054703,151.6576660246649,0.4825571527970495,-19.318359375,150.873046875,16.396558062788753,26017,14920,0.03515625,70004,True,0.22115040000062436
angle_000_60,angle,0,2,1.0,60,sampled,1449.2759628295898,1445.3894805908203,1453.1624450683594,71.23659156317814,71.35094969985535,35.675474849927674,35.61829578158907,-17.96666498150565,155.48821658340736,0.381656159184297,-17.89453125,155.021484375,12.401590338751415,21893,12552,0.03515625,65152,True,0.16754449997097254
angle_000_90,angle,0,2,1.0,90,sampled,1235.7856349945068,1232.589282989502,1238.9819869995117,49.92466018859106,50.01701568986806,25.00850784493403,24.96233009429553,-16.90578572676676,158.6993114125208,0.2580699155632413,-16.8046875,158.431640625,9.100307458205847,17977,10306,0.03515625,60744,True,0.15455520001705736
angle_000_120,angle,0,2,1.0,120,sampled,1410.4902420043945,1407.076515197754,1413.9039688110352,69.31807835578303,69.41675230878086,34.70837615439043,34.659039177891515,-16.894751357887976,159.16366728627014,0.3351993252917846,-17.2265625,159.591796875,8.636201830177518,19240,11029,0.03515625,62128,True,0.17133949999697506
angle_001_30,angle,1,2,1.0,30,sampled,2535.54852104187,2528.9749031066895,2542.122138977051,138.50599908058507,138.68693255617424,69.34346627808712,69.25299954029254,-187.052186230558,119.08297770142211,0.71725499986662,-187.822265625,120.515625,20.08131504499154,36694,21057,0.03515625,82476,True,0.3321418999694288
angle_001_45,angle,1,2,1.0,45,sampled,1766.1668643951416,1761.6520500183105,1770.6816787719727,92.65818025530773,92.80939048413222,46.40469524206611,46.32909012765386,-185.03313474028306,111.65356352992961,0.47328345403482114,-185.484375,112.271484375,16.980004360992233,25424,14580,0.03515625,69348,True,0.23071030003484339
angle_001_60,angle,1,2,1.0,60,sampled,1431.0073642730713,1427.51469039917,1434.5000381469727,70.5638398414093,70.66318796100626,35.33159398050313,35.28191992070465,-183.79236885772076,106.98972815168263,0.3440968475076496,-184.11328125,107.33203125,16.660507868122178,19633,11251,0.03515625,62668,True,0.18349540000781417
angle_001_90,angle,1,2,1.0,90,sampled,1228.6026878356934,1225.658935546875,1231.5464401245117,49.649618657886336,49.75205629019306,24.87602814509653,24.824809328943168,-181.75598176880996,99.03614052572321,0.23784361645813132,-182.00390625,99.193359375,19.20601149437756,16497,9461,0.03515625,59044,True,0.15060269995592535
angle_001_120,angle,1,2,1.0,120,sampled,1409.6888751983643,1406.0083351135254,1413.3694152832031,69.50484427714893,69.63777829609174,34.81888914804587,34.75242213857447,-179.11516050070568,88.31703634652365,0.36268597815459425,-178.59375,88.171875,26.598253295927883,20728,11893,0.03515625,63812,True,0.1854308000765741
angle_002_30,angle,2,2,1.0,30,sampled,2793.71732711792,2787.243667602539,2800.190986633301,148.00372897424984,148.151832950826,74.075916475413,74.00186448712492,-272.6526506446068,-111.54580509071249,0.6850136491985125,-272.865234375,-113.361328125,50.0387428194757,36392,20864,0.03515625,81892,True,0.3208686999278143
angle_002_45,angle,2,2,1.0,45,sampled,1875.8589477539062,1871.1029663085938,1880.6149291992188,96.66659890095758,96.82531645565783,48.41265822782891,48.33329945047879,-266.27742941799454,-94.27792672120601,0.48973280106385636,-266.2734375,-95.09765625,32.43264623641965,26779,15355,0.03515625,70752,True,0.23680409998632967
angle_002_60,angle,2,2,1.0,60,sampled,1490.845687866211,1486.8967895507812,1494.7945861816406,72.7530627048413,72.86242012337603,36.43121006168801,36.37653135242065,-263.1781575117933,-85.85374784380343,0.38497100637527537,-263.091796875,-86.34375,24.27697273657846,22232,12747,0.03515625,65564,True,0.19433399999979883
