outer_x,outer_y,inner_x,inner_y,diameter_x,diameter_y,mec_x,mec_y,diam_circle_x,diam_circle_y,observer_x,observer_y,truth_x,truth_y
,,,,,,13.813347115577397,-10.525919733977414,9.22904129742206,-7.702080796851234,,,,
,,,,,,13.805025030787245,-10.843727330252456,9.221254866517821,-7.999432596506873,,,,
,,,,,,13.802250720829967,-11.161631763297406,9.218659125987173,-8.296874999999998,,,,
,,,,,,13.805025030787245,-11.479536196342362,9.221254866517821,-8.59431740349313,,,,
,,,,,,13.813347115577397,-11.797343792617395,9.22904129742206,-8.891669203148762,,,,
,,,,,,13.827214440212774,-12.114957744850019,9.242016046877609,-9.188839822728214,,,,
,,,,,,13.846622780571956,-12.432281304753591,9.26017516265009,-9.485738741182011,,,,
,,,,,,13.871566224686454,-12.749217812497772,9.283513113296923,-9.782275520223457,,,,
,,,,,,13.902037174541565,-13.065670726152081,9.312022789852271,-10.078359831877053,,,,
,,,,,,13.938026348390782,-13.381543651093457,9.34569550799247,-10.373901485993219,,,,
,,,,,,13.979522783583114,-13.69674036936905,9.384521010681386,-10.668810457721154,,,,
,,,,,,14.026513839902417,-14.011164869005075,9.42848747129478,-10.962996914931203,,,,
,,,,,,14.078985203417723,-14.324721373253064,9.47758149722284,-11.256371245578668,,,,
,,,,,,14.136920890843406,-14.637314369764315,9.531788133949686,-11.54884408500044,,,,
,,,,,,14.200303254407839,-14.948848639683952,9.59109086960866,-11.840326343136395,,,,
,,,,,,14.269112987229079,-15.25922928665544,9.655471640011996,-12.13072923166704,,,,
,,,,,,14.34332912919594,-15.568361765726992,9.724910834153363,-12.41996429105934,,,,
,,,,,,14.422929073352627,-15.876151912150862,9.799387300181554,-12.707943417512327,,,,
,,,,,,14.507888572785046,-16.1825059700668,9.878878351843543,-12.994578889794353,,,,
,,,,,,14.598181748006652,-16.487330621061062,9.963359775394952,-13.279783395963875,,,,
,,,,,,14.69378109484158,-16.790533012592043,10.052805836975772,-13.563470059965463,,,,
,,,,,,14.794657492802699,-17.0920207862741,10.147189290449166,-13.845552468093139,,,,
,,,,,,14.90078021396197,-17.391702106010786,10.24648138570089,-14.125944695312784,,,,
,,,,,,15.012116932310498,-17.689485685969043,10.350651877396867,-14.404561331435776,,,,
,,,,,,15.12863373360533,-17.985280818385704,10.459669034196205,-14.68131750713572,,,,
,,,,,,15.25029512570007,-18.278997401198012,10.573499648416869,-14.956128919800506,,,,
,,,,,,15.377064049356125,-18.570545965489554,10.692109046151069,-15.228911859211687,,,,
,,,,,,15.508901889531309,-18.859837702743338,10.815461097827255,-15.499583233043396,,,,
