case1_poly_x,case1_poly_y,case1_mec_x,case1_mec_y,case1_diam_x,case1_diam_y,case2_poly_x,case2_poly_y,case2_mec_x,case2_mec_y,case2_diam_x,case2_diam_y,case3_poly_x,case3_poly_y,case3_mec_x,case3_mec_y,case3_diam_x,case3_diam_y
,,1.7320508075688774,0.9999999999999999,,,,,2.1331082923964484,1.2674461661909122,,,,,2.0000000000000004,1.1547005383792521,,
,,1.7143346014042247,1.0300761498201083,,,,,2.114173330836364,1.2995913520973243,,,,,1.9795430872036381,1.1894294847689064,,
,,1.696096192312852,1.0598385284664098,,,,,2.0946802423131983,1.3314011814912032,,,,,1.958483186406649,1.223796119415238,,
,,1.677341135890848,1.0892780700300542,,,,,2.074634964610549,1.362865964790367,,,,,1.9368267126588279,1.2577899739084164,,
,,1.6580751451100835,1.1183858069414938,,,,,2.054043603714187,1.393976117517016,,,,,1.9145802627318693,1.2914006933910573,,
,,1.6383040885779836,1.147152872702092,,,,,2.032912431952115,1.4247221632172593,,,,,1.8917506131099269,1.3246180397124117,,
,,1.618033988749895,1.1755705045849463,,,,,2.0112478860839533,1.455094736347733,,,,,1.8683447179254318,1.3574318945470067,,
,,1.5972710200945857,1.2036300463040965,,,,,1.9890565653402426,1.4850845851284356,,,,,1.8443697068407945,1.3898322624767845,,
,,1.5760215072134438,1.2313229506513166,,,,,1.9663452294122539,1.5146825743609107,,,,,1.8198328828766432,1.4218092740358046,,
,,1.5542919229139418,1.2586407820996748,,,,,1.9431207963929205,1.5438796882109154,,,,,1.7947417201872509,1.4533531887165776,,
,,1.532088886237956,1.2855752193730785,,,,,1.9193903406695199,1.5726670329547325,,,,,1.769103861783836,1.484454397937119,,
,,1.509419160445544,1.3121180579810146,,,,,1.8951610907687477,1.601035839688284,,,,,1.7429271172064278,1.5151034279678164,,
,,1.4862896509547885,1.3382612127177165,,,,,1.8704404271548378,1.6289774669982235,,,,,1.7162194601450043,1.5452909428172181,,
,,1.462707403238341,1.363996720124997,,,,,1.8452358799814013,1.6564834035941962,,,,,1.6889890260106295,1.575007747075868,,
,,1.4386796006773024,1.3893167409179945,,,,,1.8195551267976695,1.683545270901459,,,,,1.6612441094573278,1.6042447887173164,,
,,1.4142135623730951,1.4142135623730951,,,,,1.7934059902098367,1.7101548256130756,,,,,1.6329931618554523,1.632993161855453,,
,,1.3893167409179945,1.4386796006773024,,,,,1.76679643549822,1.7363039622009084,,,,,1.6042447887173157,1.6612441094573285,,
,,1.363996720124997,1.462707403238341,,,,,1.7397345681909573,1.7619847153846402,,,,,1.5750077470758674,1.6889890260106302,,
,,1.3382612127177165,1.4862896509547885,,,,,1.7122286315949846,1.7871892625580768,,,,,1.5452909428172175,1.716219460145005,,
,,1.3121180579810146,1.509419160445544,,,,,1.684287004285045,1.8119099261719867,,,,,1.5151034279678157,1.7429271172064285,,
,,1.2855752193730787,1.532088886237956,,,,,1.6559181975514938,1.8361391760727588,,,,,1.4844543979371185,1.7691038617838366,,
,,1.258640782099675,1.5542919229139418,,,,,1.6271308528076767,1.8598696317961594,,,,,1.4533531887165771,1.7947417201872515,,
,,1.2313229506513166,1.576021507213444,,,,,1.5979337389576718,1.883094064815493,,,,,1.421809274035804,1.8198328828766441,,
,,1.2036300463040968,1.5972710200945857,,,,,1.5683357497251968,1.9058054007434815,,,,,1.3898322624767843,1.8443697068407952,,
,,1.1755705045849463,1.618033988749895,,,,,1.538345900944494,1.9279967214871923,,,,,1.357431894547006,1.8683447179254324,,
,,1.147152872702092,1.6383040885779836,,,,,1.5079733278140204,1.949661267355354,,,,,1.324618039712411,1.8917506131099275,,
,,1.1183858069414936,1.6580751451100835,,,,,1.4772272821137769,1.9707924391174263,,,,,1.2914006933910565,1.91458026273187,,
,,1.0892780700300542,1.677341135890848,,,,,1.446117129387128,1.991383800013788,,,,,1.2577899739084157,1.9368267126588286,,
,,1.0598385284664098,1.6960961923128521,,,,,1.4146523460879643,2.0114290777164374,,,,,1.2237961194152374,1.9584831864066499,,
,,1.0300761498201083,1.7143346014042247,,,,,1.3828425166940854,2.030922166239603,,,,,1.1894294847689058,1.9795430872036388,,
,,1.0000000000000002,1.7320508075688772,,,,,1.3506973307876737,2.049857127799687,,,,,1.154700538379252,2.000000000000001,,
,,0.9696192404926742,1.7492394142787915,,,,,1.318226580103753,2.0682281946239716,,,,,1.1196198590197721,2.0198476934219283,,
,,0.9389431255717817,1.7658951857178538,,,,,1.2854401555475332,2.0860297707075364,,,,,1.0841981326052337,2.039080121669735,,
,,0.9079809994790936,1.7820130483767356,,,,,1.252348044181543,2.10325643351786,,,,,1.0484461489366403,2.057691426359469,,
,,0.8767422935781549,1.797588092598334,,,,,1.2189603261834758,2.1199029356465706,,,,,1.0123747984145555,2.0756759383074295,,
,,0.8452365234813989,1.8126155740732999,,,,,1.185287171775667,2.1359642064078628,,,,,0.9759950687217783,2.0930281792570566,,
,,0.8134732861516004,1.8270909152852017,,,,,1.151338838127149,2.1514353533830723,,,,,0.9393180414763921,2.1097428635476625,,
,,0.7814622569785474,1.8410097069048807,,,,,1.1171256662292155,2.16631166391096,,,,,0.9023548888561939,2.125814899724495,,
,,0.7492131868318239,1.8543677091335748,,,,,1.0826580777454575,2.180588606523227,,,,,0.865116870195542,2.1412393920896395,,
,,0.7167358990906008,1.8671608529944035,,,,,1.0479465718372225,2.194261832324851,,,,,0.8276153285556537,2.1560116421933015,,
,,0.6840402866513376,1.8793852415718166,,,,,1.0130017219654672,2.2073271763187967,,,,,0.7898616872693972,2.1701271502649977,,
,,0.6511363089143135,1.8910371511986335,,,,,0.9778341726699813,2.219780658674717,,,,,0.7518674464616365,2.1835816165842292,,
,,0.6180339887498949,1.902113032590307,,,,,0.9424546363269557,2.231618485941247,,,,,0.71364417954618,2.196370942790219,,
,,0.5847434094454735,1.9126095119260709,,,,,0.9068738898858903,2.242837052201525,,,,,0.6752035297004075,2.208491233130313,,
,,0.5512747116339983,1.9225233918766378,,,,,0.8711027715868287,2.2534329401715922,,,,,0.6365572063186445,2.2199387956466596,,
