experiment_id,experiment_type,method,repetition,number_points,intersection_angle,area,area_lower,area_upper,diameter,diameter_upper,cover_radius,cover_radius_lower,localization_error,centroid_error_bound,min_intersection_angle,dop,runtime,status,truth_feasible
number_optimized_028_n4,number,optimized,28,4,,515.4900512695312,511.0480041503906,519.9320983886719,36.98614613748661,37.17244393874186,18.657483323381307,18.577398571048512,3.067963799438663,0.6351665843337448,45.0,1.0,0.06014249997679144,sampled,True
number_optimized_028_n5,number,optimized,28,5,,274.4750061035156,271.3603820800781,277.5896301269531,35.3515279695964,35.50843904150199,17.754742197923424,17.677193973158275,2.9532253671966435,0.7968268643381836,15.000000000000018,0.9128709291752768,0.049866000073961914,sampled,True
number_optimized_028_n6,number,optimized,28,6,,217.40570068359375,214.8892822265625,219.922119140625,28.60993074453399,28.75987538444675,14.379937692223375,14.304965372266995,1.1312255561471083,0.6581591840069867,15.0,0.828078671210825,0.04152460000477731,sampled,True
number_optimized_029_n2,number,optimized,29,2,,1262.6426239013672,1255.6013488769531,1269.6838989257812,50.8359375,50.97675646514823,25.488378232574114,25.41796875,21.06192368874043,0.5654027154748822,90.0,1.414213562373095,0.08479059999808669,sampled,True
number_optimized_029_n3,number,optimized,29,3,,37.857513427734375,36.564697265625,39.15032958984375,12.09375,12.375199749808333,6.1875998749041665,6.046875,0.070482635041493,0.8173038854842477,45.0,1.224744871391589,0.018031600047834218,sampled,True
number_optimized_029_n4,number,optimized,29,4,,37.857513427734375,36.564697265625,39.15032958984375,12.09375,12.375199749808333,6.1875998749041665,6.046875,0.070482635041493,0.8173038854842477,45.0,1.0,0.019176100031472743,sampled,True
number_optimized_029_n5,number,optimized,29,5,,36.93424987792969,35.694580078125,38.173919677734375,12.09375,12.375199749808333,6.1875998749041665,6.046875,0.07762239390876177,0.8037509129740179,15.000000000000018,0.9128709291752769,0.01685769995674491,sampled,True
number_optimized_029_n6,number,optimized,29,6,,36.93424987792969,35.694580078125,38.173919677734375,12.09375,12.375199749808333,6.1875998749041665,6.046875,0.07762239390876177,0.8037509129740179,14.999999999999972,0.828078671210825,0.019328800030052662,sampled,True
angle_controlled_000_angle30,angle,controlled,0,2,30,2695.1805725097656,2682.4205017089844,2707.940643310547,144.10598764468057,144.49302577311582,72.24651288655791,72.05299382234028,36.076404154690415,1.3617294335004575,29.999999999999993,2.8284271247461903,0.16100770002231002,sampled,True
angle_controlled_000_angle45,angle,controlled,0,2,45,1836.6251907348633,1827.3387908935547,1845.9115905761719,95.0007224607603,95.28866633362345,47.64433316681173,47.50036123038015,23.415567582219865,0.9587551867994549,45.00000000000001,2.0,0.10798700002487749,sampled,True
angle_controlled_000_angle60,angle,controlled,0,2,60,1470.8243408203125,1463.2033996582031,1478.4452819824219,71.84487416373916,72.04187319983167,36.020936599915835,35.92243708186958,17.638701286748933,0.7427084161381754,60.00000000000001,1.632993161855452,0.09117819997482002,sampled,True
angle_controlled_000_angle90,angle,controlled,0,2,90,1245.2983703613281,1239.2297973632812,1251.366943359375,50.13426705025232,50.37442871981435,25.187214359907173,25.06713352512616,12.55442065811315,0.4885871399166557,90.0,1.4142135623730951,0.07091559993568808,sampled,True
angle_controlled_000_angle120,angle,controlled,0,2,120,1414.117172241211,1407.2439880371094,1420.9903564453125,69.0106531295084,69.30865440329448,34.65432720164724,34.5053265647542,11.042346575310319,0.6704776657934922,59.999999999999986,1.632993161855452,0.08452110004145652,sampled,True
angle_controlled_001_angle30,angle,controlled,1,2,30,2308.2534255981445,2296.697799682617,2319.809051513672,129.55597587533262,129.87268828022624,64.93634414011312,64.77798793766631,21.866508124902197,1.2938652872579688,29.999999999999993,2.8284271247461903,0.13559409999288619,sampled,True
